Country,OBI (2010),OBI (2012),OBI (2015),OBI (2016),ATI (2010),ATI (2014),ATI (2015),ATI (2016),AD (2009),AD (2012),AD (2015),AD (2016),CL (2010),CL (2011),CL (2012),CL (2013),CL (2014),CL (2016),Score 2011,Score 2012,Score 2013,Score 2014,Score 2015,Score 2016,2011 Pts Possible,2012 Pts Possible,2013 Pts Possible,2014 Pts Possible,2015 Pts Possible,2016 Pts Possible,2011 Share of Total,2012 Share of Total,2013 Share of Total,2014 Share of Total,2015 Share of Total,2016 Share of Total,OBI Exec Budget (2015),OBI Audit Report (2015),OBI Exec Budget (2016),OBI Audit Report (2016,ATI Law Status (2015),ATI Law Status (2016),AD 2009 (Elected),AD Appntd (2009),AD 2012 (Elected),AD 2012 (Appnt),AD 2015 (Law),AD 2015 (Public),AD 2016 (Law),AD 2016 (Public),EIU CL (2010) ,EIU CL (2011),EIU CL (2012) ,EIU CL (2013),EIU CL (2014) ,EIU CL (2016),OGP Participating Country?
Afghanistan,2,2,4,4,1,1,4,4,0,4,4,4,2,2,2,2,2,2,5,5,9,9,14,14,16,16,16,16,16,16,31%,31%,56%,56%,88%,88%,Yes,Yes,Yes,Yes,Law,Law,none,none,Yes,Yes,Yes,Yes,Yes,Yes,3.82,3.82,3.82,3.82,3.82,3.82,Yes
Albania,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,15,15,15,15,15,16,16,16,16,16,16,16,94%,94%,94%,94%,94%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,7.35,7.35,7.35,7.35,7.35,7.65,Yes
Algeria,0,2,2,2,0,0,0,0,3,4,4,4,2,2,2,2,2,2,5,5,8,8,8,8,16,16,16,16,16,16,31%,31%,50%,50%,50%,50%,Yes,No,Yes,No,None,None,congress,public,Yes,Yes,Yes,Yes,Yes,Yes,4.41,4.41,4.41,4.41,4.41,4.12,No
Angola,2,2,2,2,4,4,4,4,0,4,4,4,2,2,2,2,2,2,8,8,12,12,12,12,16,16,16,16,16,16,50%,50%,75%,75%,75%,75%,Yes,No,Yes,No,Law,Law,congress,none,Yes,Yes,Yes,Yes,Yes,Yes,3.24,3.24,3.24,3.24,3.24,2.94,No
Antigua and Barbuda,ND,ND,ND,ND,4,4,4,4,2,2,2,2,ND,ND,ND,ND,ND,ND,6,6,6,6,6,6,12,12,12,12,12,12,50%,50%,50%,50%,50%,50%,ND,ND,ND,ND,Law,Law,congress,nonpublic,Yes,No,Yes,No,Yes,No,ND,ND,ND,ND,ND,ND,No
Argentina,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,13,13,16,16,16,16,16,16,16,16,16,16,81%,81%,100%,100%,100%,100%,Yes,Yes,Yes,Yes,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,7.94,7.94,7.94,7.94,7.94,7.65,Yes
Armenia,ND,2,ND,ND,4,4,4,4,3,4,4,4,3,3,3,3,3,3,10,10,13,13,11,11,12,12,16,16,12,12,83%,83%,81%,81%,92%,92%,ND,ND,ND,ND,Law,Law,public,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,5.88,5.88,5.88,5.88,5.88,5.88,Yes
Australia,ND,ND,ND,ND,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,12,12,12,12,12,12,12,12,12,12,12,100%,100%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,public,Yes,Yes,Yes,Yes,Yes,Yes,10,10,10,10,10,10,Yes
Austria,ND,ND,ND,ND,4,4,4,4,3,4,4,4,4,4,4,4,4,4,11,11,12,12,12,12,12,12,12,12,12,12,92%,92%,100%,100%,100%,100%,ND,ND,ND,ND,Law,Law,public,nonpublic,Yes,Yes,Yes,Yes,Yes,Yes,9.12,9.12,9.41,9.41,9.41,9.41,No
Azerbaijan,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,12,12,12,12,12,12,16,16,16,16,16,16,75%,75%,75%,75%,75%,75%,Yes,Yes,Yes,Yes,Law,Law,none,nonpublic,Yes,No,Yes,No,Yes,No,4.71,4.71,4.71,4.71,4.41,3.53,Inactive
