,Budget transparency,,,Access to information,,Asset Disclosure,,,EIU Civil Liberties score,,Totals,,,,,
,Executive Proposal available,Audit report available,Budget transparency score,Access to information,Access to information score,Law,Implementation,Asset disclosure score,Raw score,Civil liberties score,Score,Total points possible,Total percent,Eligible?,OGP Participating Country?,2016
Afghanistan,Yes,Yes,4,Law,4,Yes,Yes,4,3.82,2,14,16,88%,Yes,Yes,2016
Albania,Yes,Yes,4,Law,4,Yes,Yes,4,7.65,4,16,16,100%,Yes,Yes,2016
Algeria,Yes,No,2,None,0,Yes,Yes,4,4.12,2,8,16,50%,No,No,2016
Angola,Yes,No,2,Law,4,Yes,Yes,4,2.94,2,12,16,75%,Yes,No,2016
Antigua and Barbuda,ND,ND,ND,Law,4,Yes,No,2,ND,ND,6,12,50%,No,No,2016
Argentina,Yes,Yes,4,Law,4,Yes,Yes,4,7.65,4,16,16,100%,Yes,Yes,2016
Armenia,ND,ND,ND,Law,4,Yes,Yes,4,5.88,3,11,12,92%,Yes,Yes,2016
Australia,ND,ND,ND,Law,4,Yes,Yes,4,10,4,12,12,100%,Yes,Yes,2016
Austria,ND,ND,ND,Law,4,Yes,Yes,4,9.41,4,12,12,100%,Yes,No,2016
Azerbaijan,Yes,Yes,4,Law,4,Yes,No,2,3.53,2,12,16,75%,Yes,Inactive,2016
Bahamas,ND,ND,ND,Draft law,1,Yes,Yes,4,ND,ND,5,12,42%,No,No,2016
Bahrain,ND,ND,ND,Draft law,1,Yes,No,2,2.35,1,4,12,33%,No,No,2016
Bangladesh,Yes,No,2,Law,4,Yes,No,2,6.76,3,11,16,69%,No,No,2016
Barbados,ND,ND,ND,Draft law,1,ND,ND,ND,ND,ND,1,12,8%,No,No,2016
Belarus,ND,ND,ND,None,0,Yes,No,2,2.65,2,4,12,33%,No,No,2016
Belgium,ND,ND,ND,Law,4,Yes,Yes,4,8.82,4,12,12,100%,Yes,No,2016
Belize,ND,ND,ND,Law,4,Yes,Yes,4,ND,ND,8,12,67%,No,No,2016
Benin,Yes,Yes,4,None,0,Yes,No,2,5.88,3,9,16,56%,No,No,2016
Bermuda,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,12,0%,No,No,2016
Bhutan,ND,ND,ND,Constitutional right,3,Yes,Yes,4,3.82,2,9,12,75%,Yes,No,2016
Bolivia,No,Yes,2,Draft law,1,Yes,Yes,4,7.06,3,10,16,63%,No,No,2016
Bosnia and Herzegovina,Yes,Yes,4,Law,4,Yes,No,2,6.18,3,13,16,81%,Yes,Yes,2016
Botswana,Yes,No,2,Draft law,1,No,No,0,9.41,4,7,16,44%,No,No,2016
Brazil,Yes,Yes,4,Law,4,Yes,No,2,8.82,4,14,16,88%,Yes,Yes,2016
Brunei Darussalam,ND,ND,ND,ND,ND,No,No,0,ND,ND,0,12,0%,No,No,2016
Bulgaria,Yes,Yes,4,Law,4,Yes,Yes,4,8.24,4,16,16,100%,Yes,Yes,2016
Burkina Faso,Yes,Yes,4,Law,4,Yes,No,2,4.71,2,12,16,75%,Yes,Yes,2016
Burundi,ND,ND,ND,None,0,Yes,No,2,2.65,2,4,12,33%,No,No,2016
Cambodia,No,No,0,Draft law,1,Yes,No,2,4.12,2,5,16,31%,No,No,2016
Cameroon,No,Yes,2,Constitutional right,3,Yes,No,2,3.82,2,9,16,56%,No,No,2016
Canada,ND,ND,ND,Law,4,Yes,Yes,4,10,4,12,12,100%,Yes,Yes,2016
Cabo Verde,ND,ND,ND,Constitutional right,3,Yes,Yes,4,9.12,4,11,12,92%,Yes,Yes,2016
Central African Republic,ND,ND,ND,None,0,Yes,Yes,4,2.35,1,5,12,42%,No,No,2016
Chad,No,No,0,None,0,Yes,No,2,2.65,2,4,16,25%,No,No,2016
Chile,Yes,Yes,4,Law,4,Yes,Yes,4,9.41,4,16,16,100%,Yes,Yes,2016
China,No,Yes,2,Law,4,Yes,No,2,1.47,1,9,16,56%,No,No,2016
Colombia,Yes,Yes,4,Law,4,Yes,No,2,8.24,4,14,16,88%,Yes,Yes,2016
Comoros,ND,ND,ND,None,0,Yes,No,2,3.82,2,4,12,33%,No,No,2016
Congo,ND,ND,ND,None,0,Yes,No,2,2.94,2,4,12,33%,No,No,2016
"Congo, the Democratic Republic of the",Yes,No,2,Constitutional right,3,Yes,No,2,0.88,1,8,16,50%,No,No,2016
Costa Rica,Yes,Yes,4,Constitutional right,3,Yes,No,2,9.71,4,13,16,81%,Yes,Yes,2016
Ivory Coast,Yes,Yes,4,Law,4,Yes,No,2,3.82,2,12,16,75%,Yes,Yes,2016
Croatia,Yes,Yes,4,Law,4,Yes,Yes,4,7.94,4,16,16,100%,Yes,Yes,2016
Cuba,ND,ND,ND,None,0,ND,ND,ND,2.65,2,2,12,17%,No,No,2016
Cyprus,ND,ND,ND,Draft law,1,ND,ND,ND,9.12,4,5,12,42%,No,No,2016
Czech Republic,Yes,Yes,4,Law,4,Yes,Yes,4,8.82,4,16,16,100%,Yes,Yes,2016
Denmark,ND,ND,ND,Law,4,Yes,Yes,4,9.41,4,12,12,100%,Yes,Yes,2016
Djibouti,ND,ND,ND,None,0,No,No,0,2.65,2,2,12,17%,No,No,2016
Dominica,ND,ND,ND,Draft law,1,Yes,No,2,ND,ND,3,12,25%,No,No,2016
Dominican Republic,Yes,Yes,4,Law,4,Yes,Yes,4,7.65,4,16,16,100%,Yes,Yes,2016
Ecuador,Yes,No,2,Law,4,Yes,No,2,6.76,3,11,16,69%,No,No,2016
Egypt,No,No,0,Constitutional right,3,Yes,No,2,2.94,2,7,16,44%,No,No,2016
El Salvador,Yes,Yes,4,Law,4,Yes,No,2,8.53,4,14,16,88%,Yes,Yes,2016
Equatorial Guinea,No,No,0,None,0,ND,ND,ND,1.47,1,1,16,6%,No,No,2016
Eritrea,ND,ND,ND,Constitutional right,3,No,No,0,1.18,1,4,12,33%,No,No,2016
