Country name, Year of National Action Plan Submission, National Action Plan Cycle, Commitment title, Full commitment text, Anti-corruption, Conflicts of interest, Asset disclosure, Audits & control, Whistleblower protections, Fiscal openness, Citizen Budgets, Participatory budgeting, E-petitions, Social Audits, Public Participation, Public Procurement, Records Management, Elections & Political Finance, Law Enforcement & Justice, Public Service Delivery Improvement, E-government, Open data, Capacity-building, Legislative & Regulation, Private sector, Legislature, Sub-national governance, Judiciary, Media & Telecommunications, Education, Health and Nutrition, Citizenship & Immigration, Welfare & Social Security, Water & Sanitation, Infrastructure, Public safety, Defense, Natural Resources, Aid, Nonprofits, Gender & sexuality, Human rights, OGP, Marginalised communities, Labor, Did it Open Government, Relevance to OGP Values, Values - Access to Information, Values - Civic Participation, Values - Public Accountability, Values - Technology & Innovation, Specificity, Potential impact, Completion - Progress Report), Starred Commitments - Progress Report (Current formula), Year of Publication - Progress Report, Year of Publication - End of Term Report, Completion - End of Term Report, Change in Completion Level, Starred Commitments - End of Term Report (Current formula), Starred Commitments - Progress Report (2015 formula), Starred Commitments - Progress Report (pre-June 2014)
Albania,2014,2, 1 1 Standardization of processes on complaints related to corruption Minister of State for Local Issues, The Minister of State for Local Issues in the role of the National Coordinator for Anti Corruption will undertake the standardization of the process related to complaints addressing corruption Currently although many ministries have been given green lines or forms to denounce corruption there is no standardized procedure which ensures transparency in the review of the complaint and concrete deadlines to ensure a good service Some of the indicators and milestones set for this commitment are the drafting of relevant guidelines for addressing corruption complaints integrating them in each ministry transparency plan rules publish them online Given the specifics and difficulty of the fight and investigation of corruption this system through the standardization of processes can increase confidence in the administration and increase the number of informants Ministries will have to officially publish relevant standards and inform the public on the progress of specific issues thus raising the level of accountability of the public administration This commitment will help improve the transparency regarding the complaint procedures in fact until now there is no clear information on how a citizen can actually address a complaint in corruption cases The publication of this standards will not only create uniformity in the way the complaint will be address but will also serve in raising the efficiency of the public administration while handling corruption complaints ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NR,1,0,0,1,0,2,2,4,0,2016, NR, NR, NR, NR,1,1
Albania,2014,2, 1 2 Electronic Registry of authorizations permits and agreements issued by the Ministry of Energy and Industry, The Ministry of Energy and Industry in the framework of increasing transparency andaccountability has undertaken the Electronic Registry initiative aiming to establish and publish in its web page an Electronic Registry of authorizations permits and agreements given in the relevant fields and their updated status Currently there is a lack of information not only on the procedures for obtaining an authorization or permit but also citizens interested groups civil society have no information on the number of permits and authorization given in the energy and industry sector In order to address this problem and acquire full transparency on the status of the actors operating in these field the Ministry has initiated a process of identifying the current status which will also allow an easier monitoring process This registry system will help improving MEI s transparency and accountability but will also allow citizens to access information through the Electronic Registry ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NR,1,1,0,0,1,2,2,3,0,2016, NR, NR, NR, NR,0,0
Albania,2014,2, 1 3 Implementation of public expenses module in open data format MSIPA and NAIS, The National Agency for Information Society in the context of the global initiative Partnership for Open Governance will undertake as commitment the implementation of a module that will allow in an open data format online access to information on budgetary data of the Ministries This module will be accessed from the government portal e Albania and the official websites of the respective institutions This module will provision information in real time of budgetary expenses of the Council of Ministers and Line Ministries in order to guaranty complete and transparent information of the expenses The indicators such as the functionality of the module the number of visitors of the web pages or downloaded information will be used to verify the implementation of this commitment The module of public expenses which will be presented graphically will provide full information in the official web page of the Council of Ministers meanwhile in the official web page of each Ministry will be given information for the respective Ministry ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NR,1,1,0,0,1,2,2,4,0,2016, NR, NR, NR, NR,1,1
Albania,2014,2, 1 4 Promoting OGP values among local authorities MSIPA Minister of Local Affaires and the OGPCCSO, The Minister of State for Innovation and Public Administration in cooperation with the Minister for Local Affairs and the open government partnership coalition of civil society organization will undertake together the commitment to promote and engage local authorities in the OGP values This commitment was proposed by civil society organizations with the aim to introduce and promote the core value of OGP also in the governance of local authorities The aim is to reinforce the participatory mechanism and built open governance also in the local level Some of the actions that will be undertaken are promoting activities legal modifications to promote transparency and other OGP values ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, NR,0,0,0,0,0,1,0,2,0,2016, NR, NR, NR, NR,0,0
Albania,2014,2, 2 1 Establishing the database of government data for economic assistance , The Ministry of Social Welfare and Youth in close collaboration with the State Social Service in the framework of the reform for poverty alleviation increase of transparency service quality and effective use of budgetary funds and exclusion of abusive cases in the economic assistance scheme has undertaken the initiative to establish the National Electronic Registry of beneficiaries of Economic Assistance The administration of benefits is hindered by inadequate capacity lack of information system supervision and controls Albania currently has no national electronic registry of economic assistance seekers and the administration of receiving welfare benefits takes place locally with paper documentation This consequently leads to a inefficiency in the application and granting of benefits higher transaction costs b weaknesses in supervision and control of fraud and error and c monitoring and evaluation of ineffective social policy The implementation of the new system will help improving the effectiveness of State Social Service by identifying families in need will improve the evaluation of beneficiaries form applicant families and will exclude abusive cases in the Economic Assistance Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, NR,0,0,0,0,0,2,2,4,0,2016, NR, NR, NR, NR,0,0
Albania,2014,2, 2 2 Electronic portal on water resources administration and management, The interested parties applying for a license or authorization for the use of water resources face a complicated and long procedure of application The lack of a national inventory of permits for the use of water resources is also a disadvantage that causes conflicts between the institutional stakeholders and the interested parties The Ministry of Environment through the Directorate of Policies for Water Resources will undertake the creation of an integrated water management system that will improve the cooperation of public and private actors through the use of new technologies for license applications and control This system will help increase the transparency on the use of water resources in Albania This commitment seeks to improve governance of natural resources for a better water management by reducing the cases of corruption strengthening the public awareness on water management The creation of an online register of water resources users will positively affect transparence and public access to information ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, NR,1,1,0,0,0,2,2,3,0,2016, NR, NR, NR, NR,0,0
Albania,2014,2, 2 3 Single window, In order to facilitate and accelerate the procedures for trade in the custom system the General Directorate of Customs will centralize the administration of requests and procedures through a single window The utilization of a single window will reduce the time of administrative practices will reduce the cost and inevitably increase the transparency level The interface between private sector and the General Directorate of Customs it will be a web portal interface The institutional cooperation and coordination of actions will be in real time The single window will raise the transparency level of transactions between the administration and the private sector ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NR,0,0,0,0,0,2,1,3,0,2016, NR, NR, NR, NR,0,0
Albania,2014,2, 3 1 Electronic access to protected areas, Electronic access to a registry of protected areas increases the participation and the inclusiveness of the public opinion and interested stakeholders for activities related to protected areas hunting areas and national legislative initiatives in the field of nature conservation and biodiversity The access to the portal will allow consultation of legal documents related to environment protection a database of new Protected Areas PA or extension of existing PA information on Hunting Areas and associated GIS digital maps The creation of this portal will strongly contribute in the increase of transparency and public participation in fact the portal will allow interactive exchange of opinions on draft laws regulations and strategies in the field of protected areas ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, NR,1,1,1,0,1,2,2,3,0,2016, NR, NR, NR, NR,0,0
Albania,2014,2, 3 2 National geoportal, The Ministry for Innovation and Public Administration in collaboration of the Albanian Authority for geospatial information will undertake the creation of a National Electronic Geoportal which for the first time will provide citizens and institutions transparent and accurate geospatial information Through the National Geoportal mapping citizens and interested parties can access to topographic maps orthophotos boundary maps indicative maps of immobile property and maps of the property value Some of the steps that will measure the implementation of this commitment are the interagency coordination in order to enable existing data collection preparation of the terms of reference for software and hardware infrastructure needed for the realization of this commitment preparation of the data model for the existing geospatial information preliminary geo portal website will make available the existing information preparation of new geospatial information Information on land property and value positioning and boundary maps and data are information that currently is very difficult for citizens to collect Also the level of corruption in this field has been very high for long time Through the implementation of this commitment will contribute in facilitating the access to geospatial maps and data in a unique portal ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, NR,1,1,0,0,1,3,2,3,0,2016, NR, NR, NR, NR,0,0
Albania,2014,2, 3 3 E Albania, E Albania portal serves as a single contact point for government services helping to improve the overall accessibility of information to the public Interoperability Platform on which this portal is based can be extended for other essential governmental services Until now information for 170 services offered by the public administration has been published Services as access to personal data business data and online declaration of personal income will soon be added as e services offered by the portal E Albania will be in enriched with various other public e services The aim of this commitment is to pass from first level services informative services to level 3 and 4 which means public services that are offered entirely online It is expected that during 2015 10 new services with be offered entirely online and other 10 will be added in 2016 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NR,1,1,0,0,1,2,2,4,0,2016, NR, NR, NR, NR,1,1
