Country name,National Action Plan Number,Year NAP Submitted,NAP Development -Step 1 : Prior availability- timeline and process,NAP Development Availability timeline - online,NAP Development <br/>Availability timeline - other channels,NAB Development <br/> Step 2 : Advance notice ,NAP Development Adequacy of advance notice,NAP development - Step 3: Awareness-raising activities,NAP Development - Step 4: Online consultations,NAP development - Step 5: In-person consultations,NAP Development - Step 6: Summary of comments,NAP development<br/>Invitation only or open participation,NAP development<br/>IAP2 level during development,NAP implementation<br/>Forum for regular dialogue,NAP implementation <br/>Invitation only or open participation,NAP development <br/>IAP2 level during implementation,NAP Self-Assessment<br/>Annual progress report published?,NAP Self-assessment<br/>According to schedule?,Two-week public comment period provided?,NAP Self assessment<br/>Review of consultation efforts on draft?
Albania,2,2014,0,Yes,No,Yes,No,No,Yes,Yes,Yes,Open,Consult,No,NA,NA,Yes,No,Yes,Yes
Albania,1,2012,0,No,No,No,No,No,No,Yes,No,NR,NR,No,NA,NA,Yes,No,No,Yes
Argentina,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Argentina,1,2013,0,No,No,No,No,No,No,Yes,No,Invitation-only,Involve,Yes,Open,Involve,Yes,Yes,No,Yes
Armenia,2,2014,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Invitation-only,Consult,Yes,Invitation-only,Inform,Yes,Yes,Yes,Yes
Armenia,1,2012,0,No,No,No,No,No,No,Yes,No,NR,NR,Yes,NR,NR,Yes,No,No,No
Azerbaijan,2,2016,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Azerbaijan,1,2012,0,No,No,No,No,Yes,Yes,Yes,No,NR,NR,No,NA,NA,No,NA,NA,NA
Brazil,2,2013,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Open,Consult,NR,Open,Consult,Yes,Yes,Yes,Yes
Brazil,1,2012,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Bulgaria,2,2014,0,No,No,Yes,No,No,Yes,Yes,Yes,Open,Collaborate,No,NA,NA,Yes,Yes,Yes,Yes
Bulgaria,1,2012,1,No,No,No,No,No,Yes,Yes,Yes,NR,NR,No,NA,NA,Yes,No,No,No
Canada,2,2014,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Open,Consult,No,Invitation-only,Consult,No,NA,NA,NA
Canada,1,2012,0,Yes,Yes,No,No,Yes,Yes,No,Yes,NR,NR,Yes,NR,NR,Yes,No,Yes,Yes
Chile,2,2014,0,Yes,No,No,No,No,Yes,Yes,Yes,Open,Consult,Yes,Invitation-only,Involve,Yes,Yes,Yes,No
Chile,1,2012,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,NR,No,NA,NA,Yes,Yes,Yes,No
Colombia,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Colombia,1,2012,0,No,No,No,No,Yes,Yes,Yes,No,NR,NR,No,NA,NA,Yes,Yes,Yes,Yes
Costa Rica,2,2015,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Costa Rica,1,2013,0,No,No,No,No,Yes,Yes,Yes,No,Open,Inform,Yes,Open,Inform,Yes,No,Yes,Yes
Croatia,2,2014,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Open,Collaborate,Yes,Open,Collaborate,Yes,No,Yes,Yes
