Country name,Year,Budget Transparency : Budget Transparency Score,Budget Transparency : Executive Proposal Available,Budget Transparency : Audit Report Available,Access to Information : Access to Information Score,Access to Information : Level of Access,Asset Disclosure : Asset Disclosure Score,Asset Disclosure : Law,Asset Disclosure : Implementation,EIU Civil Liberties Score : Civil Liberties Score,Eligible?,OGP Participating Country?
Afghanistan,2016,4,ND,ND,4,ND,4,Yes,Yes,2,ND,ND
Albania,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Algeria,2016,2,ND,ND,0,ND,4,Yes,Yes,2,ND,ND
Angola,2016,2,ND,ND,4,ND,4,Yes,Yes,2,ND,ND
Antigua and Barbuda,2016,ND,ND,ND,4,ND,2,Yes,No,ND,ND,ND
Argentina,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Armenia,2016,ND,ND,ND,4,ND,4,Yes,Yes,3,ND,ND
Australia,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Austria,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Azerbaijan,2016,4,ND,ND,4,ND,2,Yes,No,2,ND,ND
Bahamas,2016,ND,ND,ND,1,ND,4,Yes,Yes,ND,ND,ND
Bahrain,2016,ND,ND,ND,1,ND,2,Yes,No,1,ND,ND
Bangladesh,2016,2,ND,ND,4,ND,2,Yes,No,3,ND,ND
Barbados,2016,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND
Belarus,2016,ND,ND,ND,0,ND,2,Yes,No,2,ND,ND
Belgium,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Belize,2016,ND,ND,ND,4,ND,4,Yes,Yes,ND,ND,ND
Benin,2016,4,ND,ND,0,ND,2,Yes,No,3,ND,ND
Bermuda,2016,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Bhutan,2016,ND,ND,ND,3,ND,4,Yes,Yes,2,ND,ND
Bolivia,2016,2,ND,ND,1,ND,4,Yes,Yes,3,ND,ND
Bosnia and Herzegovina,2016,4,ND,ND,4,ND,2,Yes,No,3,ND,ND
Botswana,2016,2,ND,ND,1,ND,0,No,No,4,ND,ND
Brazil,2016,4,ND,ND,4,ND,2,Yes,No,4,ND,ND
Brunei Darussalam,2016,ND,ND,ND,ND,ND,0,No,No,ND,ND,ND
Bulgaria,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Burkina Faso,2016,4,ND,ND,4,ND,2,Yes,No,2,ND,ND
Burundi,2016,ND,ND,ND,0,ND,2,Yes,No,2,ND,ND
Cabo Verde,2016,ND,ND,ND,3,ND,4,Yes,Yes,4,ND,ND
Cambodia,2016,0,ND,ND,1,ND,2,Yes,No,2,ND,ND
Cameroon,2016,2,ND,ND,3,ND,2,Yes,No,2,ND,ND
Canada,2016,ND,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
Central African Republic,2016,ND,ND,ND,0,ND,4,Yes,Yes,1,ND,ND
Chad,2016,0,ND,ND,0,ND,2,Yes,No,2,ND,ND
Chile,2016,4,ND,ND,4,ND,4,Yes,Yes,4,ND,ND
China,2016,2,ND,ND,4,ND,2,Yes,No,1,ND,ND
