Indicator,Topic,Region,2010,2011,2012,2013,2014
"Foreign direct investment, net inflows ($ Thousand)",South Asia,Bangladesh,"1,232,258.25","1,264,725.16","1,584,403.46","2,602,962.10","2,539,190.94"
"Foreign direct investment, net inflows ($ Thousand)",South Asia,Bhutan,"75,274.01","31,141.62","24,380.67","49,784.38","8,361.99"
"Foreign direct investment, net inflows ($ Thousand)",South Asia,India,"27,396,885.03","36,498,654.60","23,995,685.01","28,153,031.27","34,576,643.69"
"Foreign direct investment, net inflows ($ Thousand)",South Asia,Sri Lanka,"477,559","955,920","941,116.59","932,551.32","893,628.98"
"Foreign direct investment, net inflows ($ Thousand)",South Asia,Nepal,"87,741.71","94,022.16","91,996.61","74,244.99","30,403.27"
"Foreign direct investment, net inflows ($ Thousand)",South Asia,Pakistan,"2,022,000","1,326,000","859,000","1,333,000","1,867,000"
"Foreign direct investment, net inflows ($ Thousand)",North America,Bermuda,"222,710.48","-257,865.99","47,614.10","54,904.05","-3,425.44"
"Foreign direct investment, net inflows ($ Thousand)",North America,Canada,"29,712,896.62","38,318,064.82","49,377,811.37","67,047,596.55","64,253,194.58"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Australia,"35,210,733.74","65,554,890.65","57,550,426.82","53,997,299.14","45,978,797.62"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Brunei Darussalam,"480,722.55","691,170.28","864,905.53","775,642.00","567,889.73"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),China,"243,703,434.56","280,072,219.15","241,213,868.16","290,928,431.47","268,097,181.06"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Fiji,"356,156.64","402,356.10","375,988.47","264,709.01","347,993.35"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),"Hong Kong SAR, China","82,709,142.98","96,135,081.27","74,887,135.90","76,857,453.42","129,847,455.92"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Indonesia,"15,292,009.41","20,564,938.23","21,200,778.61","23,281,742.36","25,120,732.06"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Japan,"7,440,979.28","-850,717.04","546,962.69","10,648,441.64","18,409,187.11"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Cambodia,"735,199.19","795,460.49","1,440,978.04","1,345,044.25","1,730,355.93"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Kiribati,"-6,602.47",682.761,"-3,421.35","1,173.04","8,270.65"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),"Korea, Rep.","9,497,400","9,773,000","9,495,900","12,766,600","9,273,600"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Lao PDR,"278,805.90","300,743.51","294,375.02","426,667.69","913,243.37"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),"Macao SAR, China","3,629,274.39","1,759,357.30","3,565,735.91","3,715,482.84","2,362,348.38"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Myanmar,"901,133.54","2,519,813.31","1,333,856.14","2,254,603.97","2,175,015.28"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Mongolia,"1,691,421.73","4,571,161.96","4,272,473.22","2,059,702.97","337,768.27"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Northern Mariana Islands,"14,764","-1,143","4,561.67","6,060.89","3,200"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),New Caledonia,"1,439,085.57","1,758,141.87","2,682,824.68","2,168,113.32","1,797,318.13"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),New Zealand,"286,306.90","1,378,410.92","4,004,181.18","-69,519.94","3,295,679.65"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Philippines,"1,070,386.94","2,007,150.73","3,215,415.16","3,737,371.74","5,739,574.02"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Palau,"2,685.24","8,326.13","21,639.13","18,041.11","39,860.12"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Papua New Guinea,"28,720.69","-309,831.00","-63,782.36","18,222.24","-30,389.40"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),"Korea, Dem. Peopleí¢ŒóŒ»s Rep.","14,167","126,001","221,333","88,718","63,271"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),French Polynesia,"64,303.75","133,839.52","147,199.57","99,207.17","45,314.78"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Singapore,"55,075,864.35","48,329,198.47","57,149,923.95","66,066,890.43","68,495,560.55"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Solomon Islands,"165,920.90","120,052.79","23,881.50","53,434.35","21,022.03"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Thailand,"14,746,672.92","2,473,686.00","12,899,036.06","15,935,960.66","4,975,455.66"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Tonga,"8,982.41","3,714.34","1,793.66","6,666.17","56,043.80"
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Tuvalu,455.234,-119.088,"1,325.04",336.812,630.994
"Foreign direct investment, net inflows ($ Thousand)",East Asia & Pacific (all income levels),Samoa,"-1,324.58","8,984.74","13,887.92","13,791.70","22,849.69"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Albania,"1,089,416.37","1,049,425.31","920,080.65","1,253,783.31","1,149,384.24"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Armenia,"529,321.39","653,219.76","496,636.70","346,092.39","404,344.95"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Austria,"-22,005,597.16","22,974,390.29","5,219,630.18","451,322.44","1,715,068.69"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Azerbaijan,"3,352,997","4,485,120","5,293,250","2,619,437","4,430,466"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Belgium,"111,490,238.33","158,028,565.82","6,683,318.62","-28,375,208.91","-19,303,845.02"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Bulgaria,"1,842,900","2,103,810","1,788,110","1,989,040","2,067,540"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Bosnia and Herzegovina,"443,840.21","471,610.99","391,976.95","313,295.01","523,013.85"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Belarus,"1,393,400","4,002,400","1,463,600","2,246,100","1,862,000"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Switzerland,"17,670,735.60","20,764,483.84","39,943,494.32","-24,926,465.86","20,369,335.54"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Cyprus,"13,596,805.27","-11,920,544.95","49,600,567.28","-6,025,166.43","-754,354.51"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Czech Republic,"10,167,834.38","4,188,736.49","9,433,199.81","7,357,578.65","8,088,661.93"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Germany,"86,053,684.91","97,480,731.02","65,464,274.95","62,712,000.39","9,444,773.93"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Denmark,"-11,766,404.17","13,555,949.08","2,753,929.97","-862,218.94","5,101,511.95"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Spain,"41,020,054.12","31,782,139.56","24,915,158.98","52,287,690.61","35,775,858.96"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Estonia,"2,592,803.33","1,118,556.80","1,788,040.74","1,079,660.23","1,681,871.38"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Finland,"12,226,437.62","-6,008,160.15","4,932,843.24","-4,940,707.11","17,276,980.18"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),France,"38,899,924.64","44,191,741.84","32,950,453.83","31,589,259.64","-1,048,274.59"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Greece,"533,689.27","1,092,091.92","1,663,327.17","2,945,417.94","2,696,796.38"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Croatia,"1,424,108.33","1,417,600.26","1,465,100.05","937,309.76","3,959,857.74"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Hungary,"-20,933,508.13","10,506,179.88","10,618,888.83","-3,772,123.44","12,596,679.64"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Ireland,"37,763,638.57","23,664,918.44","40,961,642.32","49,960,134.75","86,765,614.58"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Iceland,"-93,134.84","137,129.52","238,744.16","472,623.71","766,784.29"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Italy,"9,937,474.80","34,443,576.60","34,812.13","19,530,574.59","17,028,003.37"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Kazakhstan,"7,456,117.90","13,760,291.53","13,648,134.37","10,011,293.29","7,090,689.35"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Kyrgyz Republic,"402,403.90","701,295.20","324,400.30","640,167.70","352,896.70"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Lithuania,"865,316.05","1,537,976.95","575,641.35","708,290.85","504,472.64"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Luxembourg,"39,128,528.76","8,843,156.72","143,003,092.66","15,371,256.27","12,073,272.83"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Latvia,"435,492.26","1,500,490.48","1,078,662.41","989,503.25","1,083,404.28"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),"Macedonia, FYR","301,441.68","507,920.73","337,911.25","402,458.31","60,879.92"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Montenegro,"758,407.50","556,257.88","618,367.30","446,490.33","496,835.26"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Netherlands,"115,729,820.34","331,838,461.86","239,754,925.93","328,683,686.66","101,393,606.62"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Norway,"21,634,265.66","10,296,323.08","26,865,986.95","-275,285.36","6,152,386.00"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Poland,"18,395,000","18,485,000","7,358,000","795,000","19,776,000"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Portugal,"8,455,785.21","9,817,680.65","21,976,623.04","10,935,536.37","13,116,192.06"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Russian Federation,"43,167,780","55,083,630","50,587,560","69,218,890","22,031,320"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Serbia,"1,693,330.94","4,929,898.53","1,276,100.60","2,059,702.25","1,999,520.40"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Slovak Republic,"2,117,457.35","5,426,624.04","1,776,753.94","1,003,810.31","-362,446.78"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Slovenia,"319,054.95","875,544.80","33,548.09","103,977.24","1,019,291.47"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Sweden,"625,102.14","6,979,353.76","4,273,531.54","1,543,757.55","-8,626,915.51"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Tajikistan,"79,411.81","161,120.27","239,347.55","125,482.83","309,306.96"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Turkmenistan,"3,632,300","3,391,067","3,129,621","3,732,196","4,170,086"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Turkey,"9,099,000","16,182,000","13,284,000","12,384,000","12,523,000"
"Foreign direct investment, net inflows ($ Thousand)",Europe & Central Asia (all income levels),Ukraine,"6,451,000","7,207,000","8,175,000","4,509,000","847,000"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Angola,"-3,227,211.18","-3,023,770.97","-6,897,954.56","-7,120,017.42","1,921,699.72"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Burundi,780.582,"3,355.00",604.92,"116,727.14","81,747.20"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Burkina Faso,"38,832.81","143,657.28","329,300.81","490,264.03","356,821.73"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Botswana,"218,380.38","1,371,087.72","542,804.86","398,456.55","515,184.28"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Central African Republic,"61,520","36,908.46","70,035.16","1,852.79","3,475.01"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Cote d'Ivoire,"358,118.91","301,577.30","330,274.41","407,476.28","438,772.53"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Cameroon,"535,742.60","652,411.76","527,394.10","547,249.17","724,889.08"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),"Congo, Rep.","928,436.01","2,179,856.15","2,151,894.02","2,913,934.09","5,502,260.25"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Comoros,"8,342.26","23,088.18","10,375.79","4,230.44","4,678.33"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Cabo Verde,"116,213.00","102,224.98","128,951.91","89,337.25","135,815.36"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Eritrea,"91,000","39,000","41,358.14","43,858.86","46,510.79"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Ethiopia,"288,271.57","626,509.56","278,562.82","953,000","2,132,000"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Gabon,"499,000","696,000","832,473.11","771,192.62","1,011,296.18"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Ghana,"2,527,350","3,247,588","3,294,520","3,227,000","3,363,389.44"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Guinea,"101,350","956,040","605,400","135,330","68,000"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Equatorial Guinea,"2,734,000","1,975,000","985,256.41","730,710.06","319,569.59"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Kenya,"178,064.61","139,862.09","163,410.21","371,846.70","944,327.31"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Lesotho,"9,507.30","61,173.32","56,653.44","50,429.03","94,460.15"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Mozambique,"1,258,453.10","3,663,937.12","5,635,092.66","6,697,422.43","4,998,799.33"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Namibia,"766,949.50","744,486.72","1,077,257.17","853,430.35","405,454.70"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Niger,"795,859.66",--,--,--,--
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Nigeria,"6,026,232.04","8,841,113.29","7,069,934.21","5,562,873.61","4,655,849.17"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Rwanda,"42,332","106,210","159,814.91","257,642.42","291,726.10"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Sudan,"2,063,731.00","1,734,376.99","2,311,460.74","1,687,884.18","1,251,280.89"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Senegal,"271,827.67","338,218.82","276,175.33","311,278.27","402,561.89"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Sierra Leone,"238,404.16","950,477.69","722,447.24","429,675.23","403,907.29"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Somalia,"112,000","102,000","107,330","446,000","434,000"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),South Sudan,--,--,"161,000","-793,000","1,035.83"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Sao Tome and Principe,"50,600","32,152.35","22,471.53","12,162.35","27,098.31"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Swaziland,"135,660.41","93,211.83","89,720.14","29,442.30","26,584.89"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Seychelles,"159,795.38","143,240.67","613,208.78","57,289.07","108,307.01"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Chad,"313,000","281,900","579,793.04","520,200.79","-675,545.85"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Togo,"124,942.20","727,757.28","121,518.52","183,547.07","53,948.49"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Tanzania,"1,813,200","1,229,361.02","1,799,646.14","2,087,261.31","2,044,550.44"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),Uganda,"543,872.73","894,293.86","1,205,388.49","1,096,000","1,058,564.54"
"Foreign direct investment, net inflows ($ Thousand)",Sub-Saharan Africa (all income levels),South Africa,"3,693,271.72","4,139,289.12","4,626,029.12","8,232,518.82","5,791,659.02"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Aruba,"186,759.78","488,156.43","-314,692.74","229,888.27","246,759.78"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Argentina,"11,332,718.63","10,839,930.95","15,323,933.92","9,821,661.86","5,065,335.54"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Antigua and Barbuda,"96,679.21","65,160.60","129,367.14","134,289","154,773.33"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),"Bahamas, The","871,970","666,621","526,171","382,252","251,277.43"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Belize,"96,449.88","95,348.53","194,201.41","92,247.73","141,097.03"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Bolivia,"621,997.99","858,941.07","1,059,965.39","1,749,612.61","656,566.35"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Brazil,"88,452,079.26","101,157,817.52","86,606,502.98","69,181,422.95","96,894,980.84"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Barbados,"668,827.63","387,635.24","437,173.28","-8,083.63","485,583.04"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Chile,"15,725,203.49","23,443,915.10","28,457,041.23","19,362,460.84","22,342,201.01"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Colombia,"6,429,943.09","14,647,755.35","15,039,372.28","16,208,677.91","16,163,137.32"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Costa Rica,"1,855,377.07","2,733,268.84","2,696,295.21","3,205,384.98","3,194,723.66"
"Foreign direct investment, net inflows ($ Thousand)",Latin America & Caribbean (all income levels),Curacao,"89,329.61","68,859.78","69,702.24","17,480.45","69,296.09"
